,,,,,,
Document name,codigo,Output,Code to search,Expected result. Is it in the list?,Expected result explanation,Example
T00982574-11601P01,,,11601,no,Find the strinc in the document,Yes perfect match
V885-74692-000W6000-01A00-,,,42CrMoS4 (+QT),yes,Acurate,Yes perfect match
MC_T000995752-20302P01.pdf,,,S690Q,yes,Symilar,"""The material code """"S355JR"""" was not found in the document. However, a similar material code """"S355J2H"""" was found. The difference between """"S355JR"""" and """"S355J2H"""" lies in their impact test requirements and specific applications:

S355JR: This grade has a minimum yield strength of 355 MPa and is suitable for general structural applications. It requires a Charpy V-notch impact test at room temperature (20°C) with a minimum energy of 27 Joules.

S355J2H: This grade also has a minimum yield strength of 355 MPa but is used for hollow sections and requires a Charpy V-notch impact test at a lower temperature (-20°C) with a minimum energy of 27 Joules.

Here is the relevant excerpt from the document:

Steel grade S355J2H Z3
This material code """"S355J2H"""" is listed under the materials category in your provided list[1]."""
MC_T000995752-70008P01,,,Plate 316,no,Find the strinc in the document,
MC_TLAP01F46C551723000-0019.pdf,,,PA-66,yes,Symilar,
MC_TO55014Z00-F46C551_030012.pdf,,,42CrMoS4,yes,Acurate,
MC_TO55015Z00-F46C551_010301,,,EN AW-6082T6,yes,Symilar,
MC_U632A000005000001_S9702.pdf,,"S355JR - Found in the list of materials.
S275JR - Found in the list of materials.
S235JR - Found in the list of materials.
1.0038 - Found in the list of other denominations of materials equivalents.
1.0045 - Found in the list of other denominations of materials equivalents.",S355JR,yes,Symilar,
MC_U632A00000500005_S9702,,"S355JR[1]
S275JR",S355JR,yes,Symilar,
MC_U632A00000500998_S9702,,"1.1191 - Found in the list of materials.
1.7225 - Found in the list of materials.
1.7227 - Found in the list of materials.
1.7131 - Found in the list of materials.
1.4301 - Found in the list of materials.
1.4401 - Found in the list of materials.
1.0038 - Found in the list of materials.
1.0039 - Found in the list of materials.
1.0044 - Found in the list of materials.
1.0045 - Found in the list of materials.
1.0547 - Found in the list of materials.
1.8931 - Found in the list of materials.",n/A,no,Not found,
MC_U632A00000500099_S9702,,"C45E - Found in the list of materials.
1.1191 - Found in both the list of materials and the list of other denominations of materials equivalents.
F-114 - Found in both the list of materials and the list of other denominations of materials equivalents.
Ck45 - Found in both the list of materials and the list of other denominations of materials equivalents.",S355JR,yes,Symilar,
